"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","543","testListUsers_WithAdminRole_Returns200()","","Fri Nov 07 00:07:57 IST 2025","passed","Fri Nov 07 00:07:58 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testListUsers_WithAdminRole_Returns200"
"","55","updateUserRoles_RemoveRole_Success()","","Fri Nov 07 00:08:54 IST 2025","passed","Fri Nov 07 00:08:54 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_RemoveRole_Success"
"","43","updateProfile_UpdatesBothFields()","","Fri Nov 07 00:08:53 IST 2025","passed","Fri Nov 07 00:08:53 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateProfileTest","com.itcenter.auth.unit.UserServiceUpdateProfileTest","updateProfile_UpdatesBothFields"
"","41","updateProfile_NoChanges_DoesNotSave()","","Fri Nov 07 00:08:53 IST 2025","passed","Fri Nov 07 00:08:53 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateProfileTest","com.itcenter.auth.unit.UserServiceUpdateProfileTest","updateProfile_NoChanges_DoesNotSave"
"","439","should have visible user avatar and email","Accessibility Smoke Tests","Fri Nov 07 00:20:36 IST 2025","passed","Fri Nov 07 00:20:36 IST 2025","","","",""
"","28","updateUserRoles_NonexistentRole_ThrowsException()","","Fri Nov 07 00:08:55 IST 2025","passed","Fri Nov 07 00:08:55 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_NonexistentRole_ThrowsException"
"","338","testUpdateUserRoles_UnknownRole_Returns404()","","Fri Nov 07 00:08:02 IST 2025","passed","Fri Nov 07 00:08:02 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_UnknownRole_Returns404"
"","147","updateUserRoles_ReplaceAllRoles_Success()","","Fri Nov 07 00:08:54 IST 2025","passed","Fri Nov 07 00:08:54 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_ReplaceAllRoles_Success"
"","2424","testFindByEmail_ReturnsEmpty_WhenNotExists()","","Fri Nov 07 00:08:27 IST 2025","passed","Fri Nov 07 00:08:29 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testFindByEmail_ReturnsEmpty_WhenNotExists"
"","787","getUserById_ThrowsException_WhenNotExists()","","Fri Nov 07 00:08:50 IST 2025","passed","Fri Nov 07 00:08:51 IST 2025","","com.itcenter.auth.unit.UserServiceTest","com.itcenter.auth.unit.UserServiceTest","getUserById_ThrowsException_WhenNotExists"
"","30119","should show audit log with role events","Audit Log","Fri Nov 07 00:20:46 IST 2025","broken","Fri Nov 07 00:21:16 IST 2025","","","",""
"","599","testUpdateUserRoles_AddRoles_Returns200()","","Fri Nov 07 00:08:01 IST 2025","passed","Fri Nov 07 00:08:02 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_AddRoles_Returns200"
"","127","testListUsers_WithoutAdminRole_Returns403()","","Fri Nov 07 00:08:03 IST 2025","passed","Fri Nov 07 00:08:04 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testListUsers_WithoutAdminRole_Returns403"
"","1813","testDeleteRole_Success()","","Fri Nov 07 00:08:38 IST 2025","passed","Fri Nov 07 00:08:40 IST 2025","","com.itcenter.auth.repository.RoleRepositoryTest","com.itcenter.auth.repository.RoleRepositoryTest","testDeleteRole_Success"
"","1520","testFindByCognitoSub_ReturnsUser_WhenExists()","","Fri Nov 07 00:08:22 IST 2025","passed","Fri Nov 07 00:08:24 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testFindByCognitoSub_ReturnsUser_WhenExists"
"","77","updateProfile_UpdatesDisplayName()","","Fri Nov 07 00:08:53 IST 2025","passed","Fri Nov 07 00:08:53 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateProfileTest","com.itcenter.auth.unit.UserServiceUpdateProfileTest","updateProfile_UpdatesDisplayName"
"","1594","testSaveRole_Success()","","Fri Nov 07 00:08:42 IST 2025","passed","Fri Nov 07 00:08:43 IST 2025","","com.itcenter.auth.repository.RoleRepositoryTest","com.itcenter.auth.repository.RoleRepositoryTest","testSaveRole_Success"
"","62","updateUserRoles_AddRole_Success()","","Fri Nov 07 00:08:54 IST 2025","passed","Fri Nov 07 00:08:54 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_AddRole_Success"
"","311","findOrCreateFromJwt_UsesFallbackEmail_WhenMissing()","","Fri Nov 07 00:08:50 IST 2025","passed","Fri Nov 07 00:08:50 IST 2025","","com.itcenter.auth.unit.UserProvisioningServiceTest","com.itcenter.auth.unit.UserProvisioningServiceTest","findOrCreateFromJwt_UsesFallbackEmail_WhenMissing"
"","38","updateUserRoles_CaseInsensitiveRoleNames()","","Fri Nov 07 00:08:54 IST 2025","passed","Fri Nov 07 00:08:54 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_CaseInsensitiveRoleNames"
